Rank,Attraction
1,Windsor Riverfront
2,Dieppe Gardens
3,Jackson Park
4,Caesars Windsor
5,Olde Walkerville Neighborhood
6,Adventure Bay Family Water Park
7,Canadian Historical Aircraft Association
8,Ojibway Nature Centre
9,Walkerville Brewery
10,Willistead Manor
11,Coventry Gardens
12,Devonshire Mall
13,The Colosseum
14,Craft Heads Brewing Company
15,Ontario Travel Information Centre - Windsor
16,Reaume Park
17,Via Italia
18,Canadian Club Brand Center
19,Art Gallery Of Windsor
20,Assumption Park
21,Mackenzie Hall
22,Sandpoint Beach
23,Devonwood Conservation Area
24,Capitol Theatre Windsor
25,Malden Park
26,Pelee Passage Lighthouse
27,Peche Island
28,Museum Windsor
29,Chimczuk Museum
30,Bert Weeks Memorial Gardens
