Rank,Attraction
1,Canadian Museum for Human Rights
2,Assiniboine Park Zoo
3,Assiniboine Park
4,The Forks Market
5,Manitoba Museum
6,Royal Canadian Mint
7,Fort Whyte Alive
8,Leo Mol Sculpture Garden
9,Manitoba Legislative Building
10,The Forks National Historic Site
11,Shaw Park
12,Kildonan Park
13,Winnipeg Art Gallery
14,Tinkertown Family Fun Park
15,Assiniboia Downs Horse Racing Track
16,Fort Gibraltar
17,Winnipeg Railway Museum
18,Outlet Collection Winnipeg
19,CF Polo Park
20,Bell MTS Place
21,Kings Park
22,Basilique-Cathedrale de Saint Boniface
23,Manitoba Theatre Centre (MTC)
24,Manitoba Children's Museum
25,Assiniboine Forest
26,Le Musée de Saint-Boniface Museum
27,Trans Canada Brewing Co.
28,English Garden
29,Club Regent Casino
30,St Vital Park
