Rank,Attraction
1,Harley-Davidson Museum
2,Wisconsin Deer Park
3,Wisconsin State Capitol
4,Witches Gulch
5,Apostle Islands National Lakeshore
6,Lambeau Field
7,Noah's Ark Water Park
8,Geneva Lake Shore Path
9,Olbrich Botanical Gardens
10,Henry Vilas Zoo
11,Milwaukee Art Museum
12,Kettle Moraine State Forest
13,Rick Wilcox Magic Theater
14,Memorial Union Terrace
15,Fox Cities Performing Arts Center
16,Tristan Crist Magic Theatre
17,Devil's Lake State Park
18,Grandad Bluff
19,Kalahari Indoor Waterpark
20,Cave Point County Park
21,American Family Field
22,Civil War Museum
23,Hearthstone Historic House Museum
24,Bookworm Gardens
25,Rock Island State Park
26,Green Bay Packer Hall of Fame
27,EAA Aviation Museum
28,Madison Farmer's Market
29,Apostle Islands National Lakeshore Ice Caves
30,Washington Island Ferry Line
