Rank,Attraction
1,Worcester Art Museum
2,The Hanover Theatre and Conservatory for the Performing Arts
3,Green Hill Park
4,EcoTarium
5,Crompton Collective
6,Wormtown Brewery
7,Mechanics Hall
8,Union Station
9,Bancroft Tower
10,Elm Park
11,Cascading Waters
12,Massachusetts Vietnam Veterans Memorial
13,Worcester Historical Museum
14,Salisbury Mansion
15,Fitton Field
16,Quinsigamond State Park
17,The Sprinkler Factory
18,Worcester Center for Crafts
19,Green Hill Park Farm
20,Central Rock Gym
21,Redemption Rock Brewing Co.
22,American Antiquarian Society
23,Flying Dreams Brewery
24,Broad Brook Meadow Conservation Area
25,Institute Park
26,Tuckerman Hall
27,Worcester Public Library
28,Franklin D. Roosevelt American Heritage Center (FDR Center)
29,3cross Fermentation Cooperative
30,Greendale Mall
