Rank,Attraction
1,The Wuppertal Suspension Railway
2,Wuppertaler Schwebebahn Kaiserwagen
3,Skulpturenpark Waldfrieden
4,Zoo Wuppertal
5,Historische Stadthalle Wuppertal
6,Botanischer Garten
7,Zaubertheater Wiepen
8,Luisenviertel
9,Von Der Heydt Museum
10,Bergische Museumsbahnen
11,Vorwerkpark
12,Elberfelder Rathaus
13,Briller Viertel
14,"Bronzeelefant ""Tuffi"""
15,Wupper
16,St. Laurentius Wuppertal
17,Nordpark
18,City-Arkaden Wuppertal
19,Schloss Lüntenbeck
20,Toelleturm
21,Rathaus Barmen
22,Jubilaeumsbrunnen
23,Sambatrasse
24,Museum für Frühindustrialisierung
25,Gaskessel
26,Hardt-Anlagen
27,Engels-Haus
28,CityKirche Elberfeld
29,Stößels Komödie Wuppertal
30,Klosterkirche Beyenburg
