Rank,Attraction
1,Yellowstone National Park
2,Lamar Valley
3,Grand Canyon of the Yellowstone
4,Grand Prismatic Spring
5,Town Square
6,National Elk Refuge
7,National Museum of Wildlife Art
8,Grand Teton
9,Wyoming State Museum
10,Chief Joseph Scenic Highway
11,Buffalo Bill Center of the West
12,Cheyenne Depot Museum
13,Old Faithful
14,Laurance Rockefeller Preserve
15,Cheyenne Frontier Days Old West Museum
16,Jackson Hole Rodeo
17,Lower Yellowstone River Falls
18,Rendezvous Mountain
19,Antelope Flats
20,Grand Teton National Park
21,Southeast Wyoming Welcome Center
22,Cheyenne Frontier Days
23,Terry Bison Ranch
24,National Historic Trails Interpretive Center
25,Bridger Teton National Forest
26,Curt Gowdy State Park
27,Big Boy Steam Engine
28,Jackson Hole Aerial Tram
29,Medicine Bow National Forest
30,Antler Arches of Jackson
