Rank,Attraction
1,Iyoshkin Cat Sculpture
2,Brugge Embankment
3,Clock 12 Apostles
4,Saint Peter and Fevroniya Monument
5,Tower Clock of National Art Gallery
6,Cathedral of the Annunciation of the Blessed Virgin Mary
7,Chavaina Boulevard
8,National Art Gallery
9,Monument to Honeymooners Grace Kelly and Rainier III
10,Blagoveshhenskaya Tower
11,Cheese Museum
12,Botanical Garden-Institut
13,T. Evseev National Museum of The Republic of Mari El
14,Tsarevokokshaiskiy Kreml Cultural and Historical Complex
15,The Holy Trinity Church
16,Monument to Pushkin and Onegin
17,Central Park of Culture and Recreation
18,Museum of History of Yoshkar-Ola
19,Monument to Letter Y
20,Tomas Petting Zoo
21,Monument to Alexy II
22,Monument to Empress of Russia Elizaveta
23,Central Market
24,The Mari State Opera and Ballet Theater
25,Chapel of Peter and Fevronia of Murom
26,Monument to Obolenskiy-Nogotkov
27,Church of the Ascension of Christ
28,SM Yolka
29,Church of the Assumption of the Blessed Virgin
30,Monument to Lorentso Di Medichi
