Rank,Attraction
1,Khortitsa National Nature Reserve
2,Faeton Retro Cars Museum
3,Safari Zoo
4,Motor Sich Aviation Museum
5,Monument Plumbing
6,Bychkovi-Hoduvalnyku Monument
7,The Historical and Cultural Complex Zaporizhian Sich
8,Zaporizhzhya City Children Botanic Gardens
9,Berdyansk Art Museum of Brodskiy
10,Ostrich Farm Straus Yug
11,Dnieper Hydroelectric Station
12,Soborny Avenue
13,Monument Children's Bicycle
14,Home Zoo
15,Chair of Wishes
16,Gorky Park
17,Mys Dobroy Nadezhdy Akvapark
18,Monument to Ostap Bender and Shura Balaganov
19,Zaporizhzhya Children Railway
20,Popov Castle
21,Fleek's Museum of Science
22,Rainbow Fountains Cascade
23,Dolphinarium Nemo
24,Ship Monument
25,Voznesenovskiy Park
26,Treasure Island Water Park
27,St. Nicolas Cathedral
28,Holy Protection Cathedral
29,Duboviy Gai Central Park of Leisure
30,Monument Truck
