Rank,Attraction
1,Zelenograd Exhibition Hall
2,Bolshoi Gorodskoi Prud
3,Vedogon Theatre
4,Zelenograd State Historical Local Lore Museum
5,Temple of the Prelate Nikolay Mirlikiysky
6,Bust Alexander Pushkin
7,Chapel of St. Sergius of Radonezh
8,Zelenogradskiy Ice Dome
9,Kosmos
10,SM Zelenopark
11,Rubezh 1941 Goda
12,Angstrem
13,Shtyki - Monument to the Defenders of Moscow
14,Orbita Ice Dome
15,Iridium
16,Questoman
17,IQquest
18,LOST Zelenograd
19,Cinematograph
20,Parkovka
21,Space Room
22,Park Zeleny Bor
23,Recreation Area at the Lower Kamenskiy Pond
24,Billiard Club Shtos
25,Studio Relax
26,Time-Club Vmeste
27,Trampoline Club Adult Sport
28,Quest.Center
29,Garden SPA & Beauty
30,Planetium
