Rank,Attraction
1,Taganai National Park
2,Mountain Park of Bazhov
3,Bell Tower With Chapel of St. John Chrysostom
4,City Local Lore Museum
5,Zlatoust Tram
6,Museum of Zlatoust Gun Factory
7,Bird Park Taganai
8,Chernaya Skala
9,Aleksandrovskaya Sopka
10,Sculpture Winged Horse
11,Monument to Anosov
12,Mountain Kruglitsa
13,Church of St. Simeon
14,Otkliknoi Greben
15,Zlatoust Pond
16,Tarelka Mall
17,Sculpture Winged Horse
18,Monument to Bushuyev
19,Bely Klyuch
20,Blacksmith Monument
21,Sport-Extreme
22,Omnibus Zlatoust State Drama Theater
23,Park of Lenin
24,Monument and Mass Grave of the Victims of Shooting in 1903
25,Monument to the Workers of Machine-Building Plant
26,Monument to the Heroes of the Front and Rear
27,Monument to Participants in the Elimination of Consequences of Radiation Accidents and Disasters
28,Monument to Victims of Political Repression
29,Monument-Locomotive VL19-61
30,Verkhnezavodskaya Dam
