Rank,Attraction
1,Old Town
2,Lake Zurich
3,Uetliberg Mountain
4,Zoo Zurich
5,Museum of Art (Kunsthaus Zurich)
6,Bahnhofstrasse
7,Tourist Information
8,Lindenhofplatz
9,Hauptbahnhof
10,Museum Rietberg
11,Grossmunster
12,Niederdorf
13,Fraumunster Church
14,Limmat
15,Landesmuseum
16,FIFA World Football Museum
17,Botanical Garden (Botanischer Garten)
18,Opernhaus Zurich
19,Beyer Clock and Watch Museum
20,Seilbahn Rigiblick
21,Luftseilbahn Adliswil-Felsenegg LAF
22,Zoological Museum
23,Dolderbahn
24,Limmatquai
25,St. Peter's Church
26,Chinese Garden Zurich
27,Street Parade Zurich
28,Bellevue Square
29,Hallenstadion
30,Zürcher Spielzeugmuseum
